날짜,카테고리,키워드,노출여부,채널ID,채널타입,블록명,블록순위,블록내순위
2026-04-30,인터넷,인터넷가입성지,X,,,,,
2026-04-30,인터넷,유플러스인터넷가입,X,,,,,
2026-04-30,인터넷,LG유플러스인터넷가입,X,,,,,
2026-04-30,인터넷,유플러스인터넷티비,O,parisienlook,cafe,기타,3,1
2026-04-30,인터넷,U+인터넷가입,X,,,,,
2026-04-30,인터넷,엘지인터넷설치,O,llchyll,cafe,기타,7,1
2026-04-30,인터넷,LGU플러스인터넷설치,O,parisienlook,cafe,기타,5,1
2026-04-30,인터넷,LG유플러스인터넷설치,X,,,,,
2026-04-30,인터넷,엘지유플러스인터넷설치,X,,,,,
2026-04-30,인터넷,LG인터넷현금,O,parisienlook,cafe,기타,18,1
2026-04-30,인터넷,KT인터넷현금,X,,,,,
2026-04-30,인터넷,SK인터넷현금,O,parisienlook,cafe,기타,10,1
2026-04-30,인터넷,인터넷가입사은품,X,,,,,
2026-04-30,인터넷,인터넷신청사은품,O,parisienlook,cafe,기타,14,1
2026-04-30,인터넷,인터넷설치현금,O,parisienlook,cafe,기타,9,1
2026-04-30,인터넷,인터넷티비현금많이주는곳,O,parisienlook,cafe,기타,7,1
2026-04-30,인터넷,인터넷가입현금지원,X,,,,,
2026-04-30,인터넷,인터넷비교사이트,X,,,,,
2026-04-30,인터넷,LG인터넷설치,O,parisienlook,cafe,기타,7,1
2026-04-30,인터넷,SK인터넷설치,O,parisienlook,cafe,기타,9,1
2026-04-30,인터넷,KT인터넷설치,X,,,,,
2026-04-30,인터넷,LG인터넷가입,X,,,,,
2026-04-30,인터넷,SK인터넷가입,X,,,,,
2026-04-30,인터넷,KT인터넷가입,X,,,,,
2026-04-30,인터넷,인터넷가입사은품많이주는곳,X,,,,,
2026-04-30,인터넷,"""",X,,,,,
2026-04-30,인터넷,"인터넷설치현금""",O,parisienlook,cafe,기타,8,1
2026-04-30,인터넷,인터넷가입비교사이트,O,parisienlook,cafe,기타,5,1
2026-04-30,인터넷,인터넷설치,O,parisienlook,cafe,기타,8,1
2026-04-30,인터넷,인터넷가입,O,parisienlook,cafe,기타,9,1
2026-04-30,인터넷,인터넷변경,O,llchyll,cafe,기타,6,1
2026-04-30,인터넷,인터넷변경,O,parisienlook,cafe,기타,17,1
2026-04-30,인터넷,SKT인터넷설치,O,llchyll,cafe,기타,7,1
2026-04-30,인터넷,SK브로드밴드인터넷설치,O,parisienlook,cafe,기타,5,1
2026-04-30,인터넷,SK브로드밴드인터넷가입,X,,,,,
2026-04-30,인터넷,SK인터넷요금,O,parisienlook,cafe,기타,4,1
2026-04-30,인터넷,KT인터넷티비요금제,X,,,,,
2026-04-30,인터넷,인터넷가입현금사은품,O,parisienlook,cafe,기타,5,1
2026-04-30,인터넷,엘지인터넷티비,O,parisienlook,cafe,기타,4,1
2026-04-30,인터넷,LG유플러스인터넷TV,O,parisienlook,cafe,기타,3,1
2026-04-30,인터넷,LGU플러스인터넷티비,O,parisienlook,cafe,기타,3,1
2026-04-30,렌탈,SK정수기렌탈현금,X,,,,,
2026-04-30,렌탈,쿠쿠정수기렌탈현금지원,X,,,,,
2026-04-30,렌탈,업소용정수기렌탈,X,,,,,
2026-04-30,렌탈,쿠쿠직수정수기렌탈,X,,,,,
2026-04-30,렌탈,쿠쿠정수기추천,X,,,,,
2026-04-30,렌탈,sk매직 정수기 렌탈 현금지원,X,,,,,
2026-04-30,렌탈,WPUJAC103SWH,X,,,,,
2026-04-30,렌탈,SK초소형플러스,X,,,,,
2026-04-30,렌탈,SK매직비데,X,,,,,
2026-04-30,렌탈,정수기 렌탈 현금지원 50만원,X,,,,,
2026-04-30,렌탈,코웨이 정수기 렌탈 가격,X,,,,,
2026-04-30,렌탈,쿠쿠정수기 렌탈 사은품비교,X,,,,,
2026-04-30,렌탈,SK얼음냉온정수기,X,,,,,
2026-04-30,렌탈,코웨이페스타,X,,,,,
2026-04-30,렌탈,코웨이빌트인정수기,X,,,,,
2026-04-30,렌탈,코웨이노블공기청정기렌탈,X,,,,,
2026-04-30,렌탈,SK얼음정수기렌탈,X,,,,,
2026-04-30,렌탈,SK매직초소형정수기,X,,,,,
2026-04-30,렌탈,WPU-IAC425S,X,,,,,
2026-04-30,렌탈,WPU-JAC115,X,,,,,
2026-04-30,렌탈,쿠쿠제로100슬림얼음정수기,X,,,,,
2026-04-30,렌탈,CHPI-7410N,X,,,,,
2026-04-30,렌탈,CHPI-7430N,X,,,,,
2026-04-30,렌탈,CHPI-7420N,X,,,,,
2026-04-30,렌탈,쿠쿠얼음정수기,X,,,,,
2026-04-30,렌탈,정수기렌탈,X,,,,,
2026-04-30,렌탈,정수기비교,X,,,,,
2026-04-30,렌탈,정수기추천,X,,,,,
2026-04-30,렌탈,SK정수기렌탈,X,,,,,
2026-04-30,렌탈,SK매직정수기,X,,,,,
2026-04-30,렌탈,SK매직얼음정수기,X,,,,,
2026-04-30,렌탈,얼음정수기렌탈,X,,,,,
2026-04-30,렌탈,코웨이아이콘얼음정수기,X,,,,,
2026-04-30,렌탈,코웨이노블정수기,X,,,,,
