그룹,키워드,PC검색,모바일검색,경쟁도
A_고볼륨,쿠쿠서비스센터,8050,92600,낮음
A_고볼륨,매트리스,29200,70300,중간
A_고볼륨,침대프레임,16900,59400,중간
A_고볼륨,얼음정수기,9780,38400,높음
A_고볼륨,쿠쿠고객센터,4850,36200,낮음
A_고볼륨,정수기렌탈가격비교,4370,26300,높음
A_고볼륨,LG정수기,6220,19600,높음
A_고볼륨,직수정수기,3050,12600,중간
A_고볼륨,침대렌탈,2090,12300,높음
A_고볼륨,삼성정수기,2800,11600,높음
A_고볼륨,쿠쿠얼음정수기,2850,11300,높음
A_고볼륨,웅진코웨이정수기,2830,10500,높음
A_고볼륨,얼음정수기렌탈,3850,9980,높음
A_고볼륨,코웨이정수기렌탈,4880,9870,높음
A_고볼륨,공기청정기렌탈,2760,9560,높음
A_고볼륨,정수기필터,2380,7830,중간
A_고볼륨,쿠쿠정수기필터,1190,7670,높음
A_고볼륨,비데렌탈,1900,7480,높음
A_고볼륨,쿠쿠정수기렌탈,2170,7080,높음
A_고볼륨,LG얼음정수기,1740,6910,높음
A_고볼륨,정수기추천,1820,6100,높음
A_고볼륨,LG퓨리케어,1840,6090,높음
A_고볼륨,웰스정수기,1650,5680,높음
A_고볼륨,LG퓨리케어정수기,1520,5620,높음
A_고볼륨,미네랄워터,900,5390,중간
A_고볼륨,쿠쿠비데,1420,5290,중간
A_고볼륨,엘지얼음정수기,810,4860,높음
A_고볼륨,삼성비스포크정수기,1010,4800,중간
A_고볼륨,냉온정수기,1390,4530,높음
A_고볼륨,비스포크정수기,970,4190,중간
A_고볼륨,현대큐밍,2670,4090,높음
A_고볼륨,비데설치,1020,3950,중간
A_고볼륨,침대추천,2010,3930,중간
A_고볼륨,미니정수기,1570,3920,중간
A_고볼륨,빌트인정수기,1900,3660,중간
A_고볼륨,언더싱크정수기,1180,3600,중간
A_고볼륨,루헨스정수기,620,3570,중간
A_고볼륨,쿠쿠렌탈,1450,3460,높음
A_고볼륨,쿠쿠정수기필터교체,210,3380,높음
A_고볼륨,쿠쿠AS,610,3230,높음
A_고볼륨,얼음정수기추천,990,3160,높음
